Event ID,District,Disease,Start Date,End Date,Duration,Peak Cases,Peak Z-score,Highest Risk,Medium Days,High Days,Critical Days,Start Month
EVT-0040,Kannur,Chikungunya,2025-06-08,2025-06-08,1,1,3.678767909685699,Critical,0,0,1,2025-06
EVT-0041,Kannur,Chikungunya,2025-06-17,2025-06-17,1,1,2.9495762407505213,High,0,1,0,2025-06
EVT-0042,Kannur,Chikungunya,2025-06-19,2025-06-19,1,1,2.50665780140276,High,0,1,0,2025-06
EVT-0043,Kannur,Chikungunya,2025-06-23,2025-06-24,2,1,2.50665780140276,High,1,1,0,2025-06
EVT-0044,Kannur,Chikungunya,2025-07-25,2025-07-25,1,1,2.1984843263788174,Medium,1,0,0,2025-07
EVT-0045,Kannur,Chikungunya,2025-08-05,2025-08-05,1,1,2.1984843263788174,Medium,1,0,0,2025-08
EVT-0046,Kannur,Chikungunya,2025-08-19,2025-08-19,1,1,2.1984843263788174,Medium,1,0,0,2025-08
EVT-0047,Kannur,Chikungunya,2025-08-23,2025-08-23,1,1,2.1984843263788174,Medium,1,0,0,2025-08
EVT-0048,Kannur,Chikungunya,2025-08-25,2025-08-25,1,2,3.717209579620647,Critical,0,0,1,2025-08
EVT-0049,Kannur,Chikungunya,2025-09-24,2025-09-24,1,1,2.50665780140276,High,0,1,0,2025-09
EVT-0050,Kannur,Chikungunya,2025-10-04,2025-10-04,1,1,2.1984843263788174,Medium,1,0,0,2025-10
EVT-0051,Kannur,Chikungunya,2025-10-09,2025-10-09,1,1,2.50665780140276,High,0,1,0,2025-10
EVT-0052,Kannur,Chikungunya,2025-10-18,2025-10-18,1,2,3.975714565497161,Critical,0,0,1,2025-10
EVT-0053,Kannur,Chikungunya,2025-10-22,2025-10-22,1,2,3.108573076472143,Critical,0,0,1,2025-10
EVT-0054,Kannur,Chikungunya,2025-11-16,2025-11-16,1,3,3.60138010355846,Critical,0,0,1,2025-11
EVT-0055,Kannur,Chikungunya,2025-12-28,2025-12-28,1,2,2.9373676774225554,High,0,1,0,2025-12
EVT-0056,Kannur,Common Cold,2025-01-02,2025-01-02,1,1,2.19848432637882,Medium,1,0,0,2025-01
EVT-0057,Kannur,Common Cold,2025-01-17,2025-01-17,1,1,2.19848432637882,Medium,1,0,0,2025-01
EVT-0058,Kannur,Common Cold,2025-02-03,2025-02-03,1,1,2.19848432637882,Medium,1,0,0,2025-02
EVT-0059,Kannur,Common Cold,2025-02-20,2025-02-20,1,2,4.299366563289115,Critical,0,0,1,2025-02
EVT-0060,Kannur,Common Cold,2025-04-06,2025-04-07,2,1,5.294651389216612,Critical,0,0,2,2025-04
EVT-0061,Kannur,Common Cold,2025-04-16,2025-04-16,1,1,2.9495762407505257,High,0,1,0,2025-04
EVT-0062,Kannur,Common Cold,2025-04-20,2025-04-20,1,1,2.506657801402763,High,0,1,0,2025-04
EVT-0063,Kannur,Common Cold,2025-05-01,2025-05-01,1,1,2.19848432637882,Medium,1,0,0,2025-05
EVT-0064,Kannur,Common Cold,2025-05-09,2025-05-09,1,1,2.5066578014027634,High,0,1,0,2025-05
EVT-0065,Kannur,Common Cold,2025-05-24,2025-05-25,2,2,4.299366563289116,Critical,0,0,2,2025-05
EVT-0066,Kannur,Common Cold,2025-06-25,2025-06-25,1,1,3.678767909685707,Critical,0,0,1,2025-06
EVT-0067,Kannur,Common Cold,2025-07-01,2025-07-01,1,1,2.9495762407505257,High,0,1,0,2025-07
EVT-0068,Kannur,Common Cold,2025-07-04,2025-07-04,1,1,2.506657801402763,High,0,1,0,2025-07
EVT-0069,Kannur,Common Cold,2025-07-07,2025-07-07,1,1,2.19848432637882,Medium,1,0,0,2025-07
EVT-0070,Kannur,Common Cold,2025-07-27,2025-07-27,1,2,3.3280183615312677,Critical,0,0,1,2025-07
EVT-0071,Kannur,Common Cold,2025-08-27,2025-08-27,1,1,2.506657801402763,High,0,1,0,2025-08
EVT-0072,Kannur,Common Cold,2025-09-03,2025-09-04,2,1,2.506657801402763,High,1,1,0,2025-09
EVT-0073,Kannur,Common Cold,2025-11-25,2025-11-25,1,1,2.19848432637882,Medium,1,0,0,2025-11
EVT-0074,Kannur,Dengue,2025-01-02,2025-01-02,1,1,2.198484326378823,Medium,1,0,0,2025-01
EVT-0075,Kannur,Dengue,2025-01-07,2025-01-07,1,1,2.198484326378823,Medium,1,0,0,2025-01
EVT-0076,Kannur,Dengue,2025-02-19,2025-02-19,1,1,2.5066578014027674,High,0,1,0,2025-02
EVT-0077,Kannur,Dengue,2025-02-24,2025-02-24,1,1,2.198484326378823,Medium,1,0,0,2025-02
EVT-0078,Kannur,Dengue,2025-03-04,2025-03-05,2,1,2.198484326378823,Medium,2,0,0,2025-03
EVT-0079,Kannur,Dengue,2025-03-21,2025-03-21,1,1,2.198484326378823,Medium,1,0,0,2025-03
EVT-0080,Kannur,Dengue,2025-03-24,2025-03-24,1,2,3.505242787381742,Critical,0,0,1,2025-03
EVT-0081,Kannur,Dengue,2025-04-22,2025-04-22,1,2,3.267609635080779,Critical,0,0,1,2025-04
EVT-0082,Kannur,Dengue,2025-06-15,2025-06-15,1,1,3.6787679096857184,Critical,0,0,1,2025-06
EVT-0083,Kannur,Dengue,2025-06-21,2025-06-21,1,1,3.6787679096857184,Critical,0,0,1,2025-06
EVT-0084,Kannur,Dengue,2025-07-01,2025-07-01,1,1,2.9495762407505324,High,0,1,0,2025-07
EVT-0085,Kannur,Dengue,2025-07-09,2025-07-09,1,1,2.506657801402768,High,0,1,0,2025-07
EVT-0086,Kannur,Dengue,2025-07-18,2025-07-18,1,1,2.506657801402768,High,0,1,0,2025-07
EVT-0087,Kannur,Dengue,2025-07-27,2025-07-27,1,1,2.506657801402768,High,0,1,0,2025-07
EVT-0088,Kannur,Dengue,2025-08-06,2025-08-06,1,1,2.506657801402768,High,0,1,0,2025-08
EVT-0089,Kannur,Dengue,2025-08-08,2025-08-08,1,1,2.506657801402768,High,0,1,0,2025-08
EVT-0090,Kannur,Dengue,2025-08-16,2025-08-16,1,1,2.1984843263788236,Medium,1,0,0,2025-08
EVT-0091,Kannur,Dengue,2025-08-22,2025-08-22,1,1,2.1984843263788236,Medium,1,0,0,2025-08
EVT-0092,Kannur,Dengue,2025-09-28,2025-09-28,1,1,2.506657801402768,High,0,1,0,2025-09
EVT-0093,Kannur,Dengue,2025-10-09,2025-10-09,1,1,2.506657801402768,High,0,1,0,2025-10
EVT-0094,Kannur,Dengue,2025-10-12,2025-10-12,1,1,2.1984843263788236,Medium,1,0,0,2025-10
EVT-0095,Kannur,Dengue,2025-11-18,2025-11-18,1,1,2.9495762407505324,High,0,1,0,2025-11
EVT-0096,Kannur,Dengue,2025-11-27,2025-11-27,1,1,3.6787679096857184,Critical,0,0,1,2025-11
EVT-0097,Kannur,Dengue,2025-12-08,2025-12-08,1,3,4.78528025342562,Critical,0,0,1,2025-12
EVT-0098,Kannur,Flu,2025-01-06,2025-01-06,1,1,2.5066578014027634,High,0,1,0,2025-01
EVT-0099,Kannur,Flu,2025-01-17,2025-01-17,1,1,2.1984843263788205,Medium,1,0,0,2025-01
EVT-0100,Kannur,Flu,2025-01-23,2025-01-23,1,1,2.1984843263788205,Medium,1,0,0,2025-01
EVT-0101,Kannur,Flu,2025-01-25,2025-01-25,1,1,2.1984843263788205,Medium,1,0,0,2025-01
EVT-0102,Kannur,Flu,2025-02-25,2025-02-25,1,1,2.1984843263788205,Medium,1,0,0,2025-02
EVT-0103,Kannur,Flu,2025-03-04,2025-03-04,1,1,2.5066578014027634,High,0,1,0,2025-03
EVT-0104,Kannur,Flu,2025-03-14,2025-03-14,1,1,2.9495762407505257,High,0,1,0,2025-03
EVT-0105,Kannur,Flu,2025-03-22,2025-03-22,1,1,2.5066578014027634,High,0,1,0,2025-03
EVT-0106,Kannur,Flu,2025-03-28,2025-03-28,1,2,3.975714565497165,Critical,0,0,1,2025-03
EVT-0107,Kannur,Flu,2025-04-03,2025-04-03,1,2,3.2676096350807775,Critical,0,0,1,2025-04
EVT-0108,Kannur,Flu,2025-05-14,2025-05-14,1,1,2.506657801402764,High,0,1,0,2025-05
EVT-0109,Kannur,Flu,2025-05-19,2025-05-19,1,1,2.198484326378821,Medium,1,0,0,2025-05
EVT-0110,Kannur,Flu,2025-05-25,2025-05-25,1,1,2.198484326378821,Medium,1,0,0,2025-05
EVT-0111,Kannur,Flu,2025-06-01,2025-06-01,1,1,2.506657801402764,High,0,1,0,2025-06
EVT-0112,Kannur,Flu,2025-06-05,2025-06-05,1,1,2.198484326378821,Medium,1,0,0,2025-06
EVT-0113,Kannur,Flu,2025-06-27,2025-06-27,1,1,2.9495762407505266,High,0,1,0,2025-06
EVT-0114,Kannur,Flu,2025-07-01,2025-07-01,1,1,2.9495762407505266,High,0,1,0,2025-07
EVT-0115,Kannur,Flu,2025-07-14,2025-07-14,1,1,2.9495762407505266,High,0,1,0,2025-07
EVT-0116,Kannur,Flu,2025-07-19,2025-07-19,1,1,2.506657801402764,High,0,1,0,2025-07
EVT-0117,Kannur,Flu,2025-07-24,2025-07-24,1,1,2.198484326378821,Medium,1,0,0,2025-07
EVT-0118,Kannur,Flu,2025-07-28,2025-07-28,1,2,3.717209579620651,Critical,0,0,1,2025-07
EVT-0119,Kannur,Flu,2025-09-05,2025-09-05,1,1,2.9495762407505266,High,0,1,0,2025-09
EVT-0120,Kannur,Flu,2025-09-16,2025-09-16,1,2,4.299366563289116,Critical,0,0,1,2025-09
EVT-0121,Kannur,Flu,2025-11-09,2025-11-09,1,1,2.9495762407505266,High,0,1,0,2025-11
EVT-0122,Kannur,Flu,2025-11-25,2025-11-26,2,1,3.678767909685707,Critical,0,1,1,2025-11
EVT-0123,Kannur,Flu,2025-12-01,2025-12-01,1,1,2.506657801402764,High,0,1,0,2025-12
EVT-0124,Kannur,Flu,2025-12-21,2025-12-21,1,1,2.506657801402764,High,0,1,0,2025-12
EVT-0125,Kannur,Flu,2025-12-27,2025-12-28,2,1,2.9495762407505266,High,0,2,0,2025-12
EVT-0126,Kannur,Malaria,2025-02-06,2025-02-06,1,2,2.9373676774225577,High,0,1,0,2025-02
EVT-0127,Kannur,Malaria,2025-03-13,2025-03-13,1,2,3.9757145654971646,Critical,0,0,1,2025-03
EVT-0128,Kannur,Malaria,2025-04-23,2025-04-23,1,1,2.949576240750525,High,0,1,0,2025-04
EVT-0129,Kannur,Malaria,2025-04-28,2025-04-28,1,1,2.506657801402763,High,0,1,0,2025-04
EVT-0130,Kannur,Malaria,2025-05-07,2025-05-07,1,1,2.506657801402763,High,0,1,0,2025-05
EVT-0131,Kannur,Malaria,2025-05-17,2025-05-17,1,1,2.506657801402763,High,0,1,0,2025-05
EVT-0132,Kannur,Malaria,2025-05-22,2025-05-22,1,1,2.19848432637882,Medium,1,0,0,2025-05
EVT-0133,Kannur,Malaria,2025-06-10,2025-06-12,3,2,3.7172095796206506,Critical,0,2,1,2025-06
EVT-0134,Kannur,Malaria,2025-07-13,2025-07-13,1,1,3.6787679096857047,Critical,0,0,1,2025-07
EVT-0135,Kannur,Malaria,2025-07-17,2025-07-17,1,2,4.299366563289115,Critical,0,0,1,2025-07
EVT-0136,Kannur,Malaria,2025-07-19,2025-07-19,1,2,3.2676096350807775,Critical,0,0,1,2025-07
EVT-0137,Kannur,Malaria,2025-08-01,2025-08-01,1,2,2.6103296991398204,High,0,1,0,2025-08
EVT-0138,Kannur,Malaria,2025-08-27,2025-08-27,1,2,2.9716377017783704,High,0,1,0,2025-08
EVT-0139,Kannur,Malaria,2025-10-03,2025-10-03,1,1,2.5066578014027634,High,0,1,0,2025-10
EVT-0140,Kannur,Malaria,2025-10-09,2025-10-09,1,1,2.1984843263788205,Medium,1,0,0,2025-10
EVT-0141,Kannur,Malaria,2025-10-15,2025-10-15,1,1,2.1984843263788205,Medium,1,0,0,2025-10
EVT-0142,Kannur,Malaria,2025-10-17,2025-10-17,1,2,3.5052427873817398,Critical,0,0,1,2025-10
EVT-0143,Kannur,Malaria,2025-11-14,2025-11-14,1,2,3.1085730764721458,Critical,0,0,1,2025-11
EVT-0144,Kannur,Malaria,2025-11-24,2025-11-24,1,2,2.85252400583825,High,0,1,0,2025-11
EVT-0145,Kannur,Malaria,2025-12-13,2025-12-13,1,2,2.4426410475263944,Medium,1,0,0,2025-12
EVT-0146,Kannur,Malaria,2025-12-17,2025-12-17,1,2,2.4426410475263944,Medium,1,0,0,2025-12
EVT-0147,Kannur,Typhoid,2025-01-16,2025-01-16,1,2,3.9757145654971624,Critical,0,0,1,2025-01
EVT-0148,Kannur,Typhoid,2025-02-27,2025-02-28,2,1,2.9495762407505226,High,0,2,0,2025-02
EVT-0149,Kannur,Typhoid,2025-04-01,2025-04-01,1,1,5.294651389216593,Critical,0,0,1,2025-04
EVT-0150,Kannur,Typhoid,2025-04-04,2025-04-04,1,1,3.6787679096857007,Critical,0,0,1,2025-04
EVT-0151,Kannur,Typhoid,2025-04-06,2025-04-07,2,1,2.9495762407505226,High,0,2,0,2025-04
EVT-0152,Kannur,Typhoid,2025-04-20,2025-04-20,1,1,2.1984843263788187,Medium,1,0,0,2025-04
EVT-0153,Kannur,Typhoid,2025-05-06,2025-05-06,1,1,2.1984843263788187,Medium,1,0,0,2025-05
EVT-0154,Kannur,Typhoid,2025-05-09,2025-05-09,1,1,2.1984843263788187,Medium,1,0,0,2025-05
EVT-0155,Kannur,Typhoid,2025-05-25,2025-05-26,2,2,3.505242787381738,Critical,1,0,1,2025-05
EVT-0156,Kannur,Typhoid,2025-07-13,2025-07-13,1,1,2.1984843263788187,Medium,1,0,0,2025-07
EVT-0157,Kannur,Typhoid,2025-08-07,2025-08-08,2,1,2.9495762407505226,High,0,2,0,2025-08
EVT-0158,Kannur,Typhoid,2025-08-11,2025-08-11,1,1,2.1984843263788187,Medium,1,0,0,2025-08
EVT-0159,Kannur,Typhoid,2025-08-13,2025-08-13,1,1,2.1984843263788187,Medium,1,0,0,2025-08
EVT-0160,Kannur,Typhoid,2025-08-22,2025-08-22,1,3,4.272944234887336,Critical,0,0,1,2025-08
EVT-0161,Kannur,Typhoid,2025-09-14,2025-09-14,1,2,2.506657801402763,High,0,1,0,2025-09
EVT-0162,Kannur,Typhoid,2025-10-20,2025-10-20,1,1,3.678767909685702,Critical,0,0,1,2025-10
EVT-0163,Kannur,Typhoid,2025-11-09,2025-11-09,1,1,3.678767909685702,Critical,0,0,1,2025-11
EVT-0164,Kannur,Typhoid,2025-11-12,2025-11-12,1,1,2.949576240750523,High,0,1,0,2025-11
EVT-0165,Kannur,Typhoid,2025-11-16,2025-11-17,2,1,2.506657801402762,High,1,1,0,2025-11
EVT-0166,Kannur,Typhoid,2025-11-24,2025-11-24,1,1,2.198484326378819,Medium,1,0,0,2025-11
EVT-0167,Kannur,Typhoid,2025-12-26,2025-12-26,1,2,3.177670587308537,Critical,0,0,1,2025-12
EVT-0168,Kannur,Viral Fever,2025-01-01,2025-01-01,1,1,2.1984843263788187,Medium,1,0,0,2025-01
EVT-0169,Kannur,Viral Fever,2025-01-13,2025-01-14,2,2,4.299366563289114,Critical,0,0,2,2025-01
EVT-0170,Kannur,Viral Fever,2025-03-08,2025-03-09,2,1,2.1984843263788187,Medium,2,0,0,2025-03
EVT-0171,Kannur,Viral Fever,2025-04-03,2025-04-03,1,1,2.506657801402761,High,0,1,0,2025-04
EVT-0172,Kannur,Viral Fever,2025-04-05,2025-04-05,1,1,2.1984843263788187,Medium,1,0,0,2025-04
EVT-0173,Kannur,Viral Fever,2025-04-08,2025-04-10,3,2,3.505242787381738,Critical,1,1,1,2025-04
EVT-0174,Kannur,Viral Fever,2025-05-18,2025-05-18,1,1,2.949576240750523,High,0,1,0,2025-05
EVT-0175,Kannur,Viral Fever,2025-05-24,2025-05-24,1,1,2.506657801402762,High,0,1,0,2025-05
EVT-0176,Kannur,Viral Fever,2025-06-02,2025-06-02,1,1,2.506657801402762,High,0,1,0,2025-06
EVT-0177,Kannur,Viral Fever,2025-07-16,2025-07-16,1,1,5.294651389216597,Critical,0,0,1,2025-07
EVT-0178,Kannur,Viral Fever,2025-07-21,2025-07-22,2,1,3.678767909685702,Critical,0,1,1,2025-07
EVT-0179,Kannur,Viral Fever,2025-07-24,2025-07-24,1,1,2.506657801402762,High,0,1,0,2025-07
EVT-0180,Kannur,Viral Fever,2025-07-27,2025-07-27,1,1,2.198484326378819,Medium,1,0,0,2025-07
EVT-0181,Kannur,Viral Fever,2025-09-02,2025-09-02,1,1,2.506657801402762,High,0,1,0,2025-09
EVT-0182,Kannur,Viral Fever,2025-09-06,2025-09-06,1,1,2.506657801402762,High,0,1,0,2025-09
EVT-0183,Kannur,Viral Fever,2025-09-10,2025-09-10,1,3,4.419155406449727,Critical,0,0,1,2025-09
EVT-0184,Kannur,Viral Fever,2025-11-02,2025-11-02,1,1,2.9495762407505226,High,0,1,0,2025-11
EVT-0185,Kannur,Viral Fever,2025-11-04,2025-11-05,2,2,3.9757145654971624,Critical,0,1,1,2025-11
EVT-0186,Kannur,Viral Fever,2025-11-17,2025-11-17,1,3,3.844985836634003,Critical,0,0,1,2025-11
EVT-0187,Kannur,Viral Fever,2025-12-04,2025-12-04,1,2,2.1984843263788196,Medium,1,0,0,2025-12
EVT-0188,Kannur,Viral Fever,2025-12-15,2025-12-15,1,2,2.2675356207590305,Medium,1,0,0,2025-12
EVT-0189,Kasaragod,Chickenpox,2025-01-03,2025-01-03,1,1,3.6787679096857047,Critical,0,0,1,2025-01
EVT-0190,Kasaragod,Chickenpox,2025-01-18,2025-01-18,1,1,2.949576240750525,High,0,1,0,2025-01
EVT-0191,Kasaragod,Chickenpox,2025-01-26,2025-01-26,1,1,2.506657801402763,High,0,1,0,2025-01
EVT-0192,Kasaragod,Chickenpox,2025-02-11,2025-02-11,1,1,2.949576240750525,High,0,1,0,2025-02
EVT-0193,Kasaragod,Chickenpox,2025-02-25,2025-02-25,1,1,3.6787679096857047,Critical,0,0,1,2025-02
EVT-0194,Kasaragod,Chickenpox,2025-03-15,2025-03-16,2,1,3.6787679096857047,Critical,0,1,1,2025-03
EVT-0195,Kasaragod,Chickenpox,2025-03-20,2025-03-20,1,1,2.506657801402763,High,0,1,0,2025-03
EVT-0196,Kasaragod,Chickenpox,2025-04-04,2025-04-04,1,1,2.506657801402763,High,0,1,0,2025-04
EVT-0197,Kasaragod,Chickenpox,2025-05-17,2025-05-17,1,1,5.294651389216603,Critical,0,0,1,2025-05
EVT-0198,Kasaragod,Chickenpox,2025-06-08,2025-06-08,1,1,3.6787679096857047,Critical,0,0,1,2025-06
EVT-0199,Kasaragod,Chickenpox,2025-06-16,2025-06-16,1,1,3.6787679096857047,Critical,0,0,1,2025-06
EVT-0200,Kasaragod,Chickenpox,2025-06-18,2025-06-18,1,1,2.949576240750525,High,0,1,0,2025-06
EVT-0201,Kasaragod,Chickenpox,2025-07-02,2025-07-02,1,1,2.506657801402763,High,0,1,0,2025-07
EVT-0202,Kasaragod,Chickenpox,2025-07-12,2025-07-12,1,1,2.506657801402763,High,0,1,0,2025-07
EVT-0203,Kasaragod,Chickenpox,2025-07-15,2025-07-15,1,1,2.19848432637882,Medium,1,0,0,2025-07
EVT-0204,Kasaragod,Chickenpox,2025-07-26,2025-07-26,1,1,2.506657801402763,High,0,1,0,2025-07
EVT-0205,Kasaragod,Chickenpox,2025-08-09,2025-08-09,1,1,2.506657801402763,High,0,1,0,2025-08
EVT-0206,Kasaragod,Chickenpox,2025-08-13,2025-08-13,1,1,2.506657801402763,High,0,1,0,2025-08
EVT-0207,Kasaragod,Chickenpox,2025-08-16,2025-08-16,1,2,3.975714565497164,Critical,0,0,1,2025-08
EVT-0208,Kasaragod,Chickenpox,2025-09-15,2025-09-15,1,1,2.19848432637882,Medium,1,0,0,2025-09
EVT-0209,Kasaragod,Chickenpox,2025-09-26,2025-09-27,2,1,2.506657801402763,High,1,1,0,2025-09
EVT-0210,Kasaragod,Chickenpox,2025-10-04,2025-10-04,1,2,3.71720957962065,Critical,0,0,1,2025-10
EVT-0211,Kasaragod,Chickenpox,2025-10-12,2025-10-12,1,2,2.8525240058382497,High,0,1,0,2025-10
EVT-0212,Kasaragod,Chickenpox,2025-10-22,2025-10-22,1,2,2.521834475695623,High,0,1,0,2025-10
EVT-0213,Kasaragod,Chickenpox,2025-12-06,2025-12-06,1,1,3.6787679096857038,Critical,0,0,1,2025-12
EVT-0214,Kasaragod,Chickenpox,2025-12-15,2025-12-15,1,1,3.6787679096857038,Critical,0,0,1,2025-12
EVT-0215,Kasaragod,Chickenpox,2025-12-18,2025-12-18,1,1,2.949576240750525,High,0,1,0,2025-12
EVT-0216,Kasaragod,Chickenpox,2025-12-23,2025-12-23,1,1,2.506657801402763,High,0,1,0,2025-12
EVT-0217,Kasaragod,Chickenpox,2025-12-25,2025-12-25,1,1,2.1984843263788196,Medium,1,0,0,2025-12
EVT-0218,Kasaragod,Chikungunya,2025-01-07,2025-01-07,1,1,2.506657801402764,High,0,1,0,2025-01
EVT-0219,Kasaragod,Chikungunya,2025-01-16,2025-01-16,1,1,2.506657801402764,High,0,1,0,2025-01
EVT-0220,Kasaragod,Chikungunya,2025-01-18,2025-01-18,1,1,2.506657801402764,High,0,1,0,2025-01
EVT-0221,Kasaragod,Chikungunya,2025-01-23,2025-01-23,1,1,2.1984843263788205,Medium,1,0,0,2025-01
EVT-0222,Kasaragod,Chikungunya,2025-02-08,2025-02-08,1,1,2.506657801402764,High,0,1,0,2025-02
EVT-0223,Kasaragod,Chikungunya,2025-02-15,2025-02-15,1,1,2.506657801402764,High,0,1,0,2025-02
EVT-0224,Kasaragod,Chikungunya,2025-02-26,2025-02-26,1,1,2.9495762407505257,High,0,1,0,2025-02
EVT-0225,Kasaragod,Chikungunya,2025-03-03,2025-03-03,1,1,2.506657801402764,High,0,1,0,2025-03
EVT-0226,Kasaragod,Chikungunya,2025-03-25,2025-03-25,1,1,2.9495762407505257,High,0,1,0,2025-03
EVT-0227,Kasaragod,Chikungunya,2025-04-10,2025-04-10,1,1,3.6787679096857064,Critical,0,0,1,2025-04
EVT-0228,Kasaragod,Chikungunya,2025-04-25,2025-04-25,1,1,3.6787679096857064,Critical,0,0,1,2025-04
EVT-0229,Kasaragod,Chikungunya,2025-04-27,2025-04-27,1,1,2.9495762407505257,High,0,1,0,2025-04
EVT-0230,Kasaragod,Chikungunya,2025-05-19,2025-05-19,1,1,2.9495762407505257,High,0,1,0,2025-05
EVT-0231,Kasaragod,Chikungunya,2025-05-27,2025-05-27,1,1,3.6787679096857064,Critical,0,0,1,2025-05
EVT-0232,Kasaragod,Chikungunya,2025-06-05,2025-06-05,1,1,2.9495762407505257,High,0,1,0,2025-06
EVT-0233,Kasaragod,Chikungunya,2025-06-10,2025-06-10,1,1,2.506657801402764,High,0,1,0,2025-06
EVT-0234,Kasaragod,Chikungunya,2025-06-14,2025-06-14,1,1,2.1984843263788205,Medium,1,0,0,2025-06
