district,disease_name,total_days,total_cases,non_zero_days,zero_days,percentage_zero_days,mean_daily_cases,median_daily_cases,standard_deviation,minimum_daily_cases,maximum_daily_cases,variance,first_date,last_date
Kasaragod,Malaria,2919,397,371,2548,87.29016786570743,0.13600548132922233,0.0,0.37070862985583214,0,3,0.13742488824958835,2018-01-01,2025-12-28
Kasaragod,Typhoid,2919,410,377,2542,87.08461801986982,0.14045906132237068,0.0,0.37866861424821685,0,2,0.14338991941666485,2018-01-01,2025-12-28
Kasaragod,Viral Fever,2919,377,356,2563,87.80404248030148,0.1291538198013018,0.0,0.35719809116421697,0,3,0.12759047633136025,2018-01-01,2025-12-28
Kozhikode,Chickenpox,2919,484,451,2468,84.54950325453923,0.1658102089756766,0.0,0.40207986466046497,0,3,0.16166821756537783,2018-01-01,2025-12-28
Kozhikode,Chikungunya,2919,508,462,2457,84.17266187050359,0.17403220280918122,0.0,0.42116374926136546,0,3,0.1773789036918903,2018-01-01,2025-12-28
Kozhikode,Common Cold,2919,533,480,2439,83.55601233299075,0.18259677971908186,0.0,0.4363833213542638,0,4,0.19043040315617865,2018-01-01,2025-12-28
Kozhikode,Dengue,2919,467,435,2484,85.09763617677287,0.15998629667694417,0.0,0.3954359214962015,0,2,0.15636956800955004,2018-01-01,2025-12-28
Kozhikode,Flu,2919,506,458,2461,84.309695101062,0.17334703665638918,0.0,0.41981685987681466,0,2,0.17624619583682902,2018-01-01,2025-12-28
Kozhikode,Malaria,2919,523,457,2462,84.34395340870161,0.17917094895512162,0.0,0.44014359676896453,0,3,0.19372638577672083,2018-01-01,2025-12-28
Kozhikode,Typhoid,2919,511,467,2452,84.00137033230558,0.1750599520383693,0.0,0.4178768935781971,0,2,0.17462109818656382,2018-01-01,2025-12-28
Kozhikode,Viral Fever,2919,491,445,2474,84.75505310037684,0.16820829051044878,0.0,0.4149410262891986,0,3,0.17217605529793342,2018-01-01,2025-12-28
Malappuram,Chickenpox,2919,440,407,2512,86.05686879068173,0.15073655361425145,0.0,0.38817154391019026,0,2,0.15067714750162076,2018-01-01,2025-12-28
Malappuram,Chikungunya,2919,508,452,2467,84.51524494689963,0.17403220280918122,0.0,0.43081749640262573,0,3,0.18560371520662644,2018-01-01,2025-12-28
Malappuram,Common Cold,2919,417,388,2531,86.7077766358342,0.14285714285714285,0.0,0.3773162741562713,0,2,0.14236757074317047,2018-01-01,2025-12-28
Malappuram,Dengue,2919,419,390,2529,86.63926002055499,0.14354230900993492,0.0,0.37886946855502307,0,3,0.14354207420316561,2018-01-01,2025-12-28
Malappuram,Flu,2919,426,389,2530,86.67351832819459,0.1459403905447071,0.0,0.3882392873189704,0,3,0.15072974421794202,2018-01-01,2025-12-28
Malappuram,Malaria,2919,415,391,2528,86.60500171291538,0.1421719767043508,0.0,0.37392689945626467,0,3,0.13982132613697545,2018-01-01,2025-12-28
Malappuram,Typhoid,2919,424,396,2523,86.43371017471738,0.14525522439191504,0.0,0.3786686142482168,0,2,0.14338991941666482,2018-01-01,2025-12-28
Malappuram,Viral Fever,2919,433,402,2517,86.22816032887975,0.14833847207947928,0.0,0.38777119303249996,0,4,0.15036649814584835,2018-01-01,2025-12-28
Palakkad,Chickenpox,2919,326,308,2611,89.44844124700239,0.1116820829051045,0.0,0.3340365422734485,0,2,0.11158041157400134,2018-01-01,2025-12-28
Palakkad,Chikungunya,2919,354,326,2593,88.83179170948955,0.12127440904419322,0.0,0.36042624754197405,0,3,0.12990707991718836,2018-01-01,2025-12-28
Palakkad,Common Cold,2919,337,316,2603,89.17437478588558,0.11545049674546078,0.0,0.3423966965459996,0,3,0.11723549780561332,2018-01-01,2025-12-28
Palakkad,Dengue,2919,301,282,2637,90.33915724563207,0.10311750599520383,0.0,0.32486704756464074,0,2,0.10553859859336655,2018-01-01,2025-12-28
Palakkad,Flu,2919,332,315,2604,89.20863309352518,0.11373758136348064,0.0,0.3384433598243981,0,3,0.11454390780922702,2018-01-01,2025-12-28
Palakkad,Malaria,2919,309,294,2625,89.92805755395683,0.10585817060637205,0.0,0.323984058367531,0,2,0.10496567007629574,2018-01-01,2025-12-28
Palakkad,Typhoid,2919,310,286,2633,90.20212401507366,0.10620075368276807,0.0,0.33582005362419254,0,3,0.11277510841615557,2018-01-01,2025-12-28
Palakkad,Viral Fever,2919,325,307,2612,89.482699554642,0.11133949982870846,0.0,0.3346633258323749,0,3,0.11199954165718631,2018-01-01,2025-12-28
Wayanad,Chickenpox,2919,373,355,2564,87.83830078794107,0.12778348749571772,0.0,0.3518952695446888,0,2,0.12383028072792918,2018-01-01,2025-12-28
Wayanad,Chikungunya,2919,380,349,2570,88.04385063377869,0.13018156903048989,0.0,0.36677045044581236,0,2,0.13452056332022408,2018-01-01,2025-12-28
Wayanad,Common Cold,2919,380,355,2564,87.83830078794107,0.13018156903048989,0.0,0.3630137180355292,0,3,0.13177895948197868,2018-01-01,2025-12-28
Wayanad,Dengue,2919,370,340,2579,88.35217540253511,0.12675573826652964,0.0,0.3632823748921214,0,3,0.13197408390725981,2018-01-01,2025-12-28
Wayanad,Flu,2919,378,357,2562,87.76978417266187,0.12949640287769784,0.0,0.35659379733272434,0,2,0.1271591362961721,2018-01-01,2025-12-28
Wayanad,Malaria,2919,359,342,2577,88.28365878725592,0.12298732442617334,0.0,0.3477370053020095,0,3,0.12092102485640979,2018-01-01,2025-12-28
Wayanad,Typhoid,2919,368,339,2580,88.38643371017471,0.1260705721137376,0.0,0.36352079899642165,0,3,0.1321473713029968,2018-01-01,2025-12-28
Wayanad,Viral Fever,2919,380,354,2565,87.87255909558068,0.13018156903048989,0.0,0.3630137180355292,0,3,0.13177895948197868,2018-01-01,2025-12-28
